iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
MNE,0.003916878,0.007833755,0.014208582,0.448660295,0,0,50,80,16,33,0,0,0.1,0,0,0,0,0,0,50,100,0,0,0,0
MAR,0.039360834,0.067732933,0.085251492,0.205492696,0,0,0,80,2,0,0.010988735,0.011944277,0.08,0,0,0,0,20,0,0,100,0,0,0,0
MOZ,0.020282273,0.011003366,0.014208582,0.225583075,0,0,25,60,5,0,0.02956118,0.02956118,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR,1.249074604,2.492630033,4.05255762,0.384924221,4,4,50,60,11,33,0.005519176,0.005593759,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
NAM,0.099580251,0.199160502,0.225052283,0.115047848,0,0,0,40,6,0,0,0,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
NRU,0.007104291,0.014208582,0.014208582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,1.371837434,2.733094361,4.154713439,0.342170188,3,5,25,60,19,33,0.010580507,0.012208277,0.133333333,0,0,0,0,0,0,0,100,100,0,0,0
NLD,1.2010704,0.677234111,1.415616243,0.521597668,0,3,50,80,12,67,1.724906689,3.404421096,0.493333333,8,0,7,2,40,0,0,100,100,100,100,0
NZL,0.198607694,0.007312938,0.014208582,0.485315442,0,0,75,60,26,33,0.389902451,0.526895203,0.26,3,0,0,0,40,0,0,100,0,100,0,0
NIC,0.013243972,0.00934988,0.014208582,0.341955411,0,0,75,60,2,0,0.017138064,0.020565677,0.166666667,0,0,0,0,0,0,0,0,0,100,0,0
NER,0.005239415,0.010478829,0.014208582,0.2625,0,0,25,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,2.099148709,4.133207447,5.60434908,0.2625,10,1,25,80,0,0,0.065089971,0.070749969,0.08,0,0,0,0,20,0,0,100,0,0,0,0
NIU,0.006512267,0.013024533,0.014208582,0.083333333,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0.292406016,0.584812032,0.73101504,0.2,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0.057320629,0.114641257,0.201193602,0.43019432,0,0,50,80,9,33,0,0,0.133333333,0,0,0,0,0,0,0,100,100,0,0,0
NOR,0.164187124,0.221892039,0.862756253,0.74281028,0,2,100,100,30,67,0.106482208,0.155071177,0.313333333,0,0,0,0,20,0,0,100,100,100,0,0
OMN,0.090671631,0.181343263,0.254046871,0.286181869,0,0,50,60,4,0,0,0,0.066666667,0,0,0,0,0,0,0,100,0,0,0,0
PAK,1.809819455,3.598069592,4.859335038,0.259555152,10,0,0,100,4,0,0.021569318,0.023109983,0.066666667,0,0,0,0,0,0,0,0,100,0,0,0
